name;id;url;promo_price;regular_price;manufacturer
Вода Kobi минеральная газированная, 500мл;800143;/products/voda-mineralnaya-kobi-500ml-133366;64.9;83.9;KOBI
Вода San Benedetto минеральная негазированная, 750мл;106835;/products/sanbenedetto-stolovaya-pityevaya-negazirovannaya-075-l;349;349;SAN BENEDETTO
Вода Калинов Родник газированная, 1.5л;137541;/products/kalinov-rodnik-gazirovannaya-v-upakovke-6h15l;32.9;41.5;КАЛИНОВ РОДНИК
Вода Калинов Родник для кулера негазированная, 9л;643784;/products/kalinov-rodnik-9l;167;167;КАЛИНОВ РОДНИК
Вода Stelmas минеральная природная столовая негазированная, 1.5л;596543;/products/15l-voda-stelmas-b-g-pet-115956;49.99;49.99;STELMAS
Вода детская Калинов Родничок негазированная с 0 месяцев, 6л;398713;/products/kalinov-rodnichok-detskaya-6l;109;109;КАЛИНОВ РОДНИЧОК
Вода Липецкая Росинка Лайт со вкусом лимона и лайма газированная, 1.5л;569732;/products/voda-gazirovannaya-limon-lajm-v-pet-lipeckaya-rosinka-15l-84869;54.9;59.9;ЛИПЕЦКАЯ РОСИНКА
aro Вода негазированная, 1.5л;190603;/products/aro-negazirovanaya-15l;31.99;31.99;ARO
Вода Tassay питьевая негазированная, 500мл;473782;/products/tassay-negazirovannaya-st-b-05-l;102;102;TASSAY
Вода минеральная Perrier газированная, 1л;607484701;/products/voda-mineralnaya-perrier-gazirovannaya-1l;269;269;PERRIER
Вода Липецкая Росинка Лайт со вкусом вишни газированная, 1.5л;569724;/products/voda-gazirovannaya-vishnya-v-pet-lipeckaya-rosinka-15l-84866;54.9;59.9;ЛИПЕЦКАЯ РОСИНКА
Вода Шишкин лес спорт негазированная, 650мл;608972;/products/065-l-shishkin-les-sport-b-g-118083;49.49;49.49;ШИШКИН ЛЕС
Вода минеральная Sanpellegrino газированная, 750мл;607845523;/products/075l-voda-min-sanpellegrino-gaz-st-244013;289;289;SANPELLEGRINO
Вода детская Черноголовка негазированная, 1.5л;451425;/products/art-566299;45.49;45.49;ЧЕРНОГОЛОВКА
Напиток Borjomi Flavored с ароматами вишни и граната газированный, 330мл;584990;/products/napitok-borjomi-flavored-water-vishnya-granat-bez-sahara-330-ml;64.9;95.9;BORJOMI
Вода Aqua Russa негазированная, 500мл;414321;/products/aqua-russa-negazirovannaya-05-l;94.9;94.9;AQUA RUSSA
Вода минеральная Perrier газированная, 750мл;607484586;/products/voda-mineralnaya-perrier-gazirovannaya-750ml;299;299;PERRIER
aro Вода питьевая газированная, 1.5л;149538;/products/aro-gazirovannaya-15l;31.99;31.99;ARO
Вода San Benedetto газированная, 330мл;595562711;/products/033l-voda-san-benedetto-gaz-pet-223612;79.9;109;SAN BENEDETTO
Вода Сенежская негазированная, 3л;454872711;/products/3l-voda-senezhskaya-bg-pet-212946;62.9;62.9;СЕНЕЖСКАЯ
Вода Черноголовка минеральная газированная, 500мл;597792;/products/05-l-min-chernogolovka-gaz-pet-117611;28.9;28.9;ЧЕРНОГОЛОВКА
